File,Line Number,Issue,Severity,API Endpoint,Expected Endpoint,Missing Error Handling,Missing Loading State,Status
employer-verification.tsx,46,Using fetch() instead of apiRequest,CRITICAL,/api/employers/history,/employers/history,Yes,Yes,BROKEN
employer-verification.tsx,56,Using fetch() instead of apiRequest,CRITICAL,/api/employers/registries,/employers/registries,Yes,Yes,BROKEN
employer-verification.tsx,71,Using fetch() instead of apiRequest,CRITICAL,/api/employers/{id} DELETE,/employers/{id},Yes,Yes,BROKEN
contact.tsx,34-45,No API integration - simulated only,HIGH,none,/contact or /messages/send,Yes,Yes,NOT IMPLEMENTED
blog.tsx,140,No onClick handler for Read Article,MEDIUM,none,/blog/{id},No,No,NOT IMPLEMENTED
partner.tsx,13-20,Uses mailto instead of API,HIGH,mailto:,/partners/apply,Yes,Yes,NOT IMPLEMENTED
forum.tsx,all,No API integration - hardcoded data,HIGH,none,/forum/posts;/forum/categories,Yes,Yes,COMPLETELY MOCK
checkout.tsx,61-75,Stripe confirm endpoint may mismatch,HIGH,/stripe/confirm,verify in stripe.ts,Partial,Yes,POSSIBLY BROKEN
admin-dashboard.tsx,27,Missing error state for overview,HIGH,/admin/overview,verify in admin.ts,Yes,Partial,POOR ERROR HANDLING
admin-dashboard.tsx,31,Missing error state for AI status,HIGH,/ai/status,verify in ai.ts,Yes,Partial,POOR ERROR HANDLING
admin-dashboard.tsx,37,Missing error state for Stripe,HIGH,/stripe/validate,verify in stripe.ts,Yes,Partial,POOR ERROR HANDLING
admin-ai-usage.tsx,27,Query parameter handling issue,HIGH,/admin/ai-usage?month={month},verify format in admin.ts,Yes,Partial,POSSIBLE ENCODING ISSUE
admin-ai-usage.tsx,39,Body serialization for adjust-tier,HIGH,/admin/users/{userId}/adjust-tier,verify in admin.ts,Yes,Partial,POSSIBLE TYPE ISSUE
applications.tsx,24,Wrong response type expected,MEDIUM,/applications,verify wrapped response in applications.ts,Yes,Partial,RESPONSE MISMATCH POSSIBLE
application-view.tsx,20-27,Same UI for loading and error states,MEDIUM,/applications/{id},verify in applications.ts,Yes,Yes,POOR UX
analytics-dashboard.tsx,19,Endpoint may not exist,MEDIUM,/analytics/dashboard,verify in analytics.ts,Partial,No,ENDPOINT UNVERIFIED
lawyer-dashboard.tsx,189,Wrong endpoint path,MEDIUM,/stats,/lawyer/stats,Partial,Partial,WRONG PATH
settings.tsx,109-240,Single error state for multiple calls,MEDIUM,/users/*;/ai/*;/stripe/*,verify multiple endpoints,Yes,Yes,STATE MANAGEMENT ISSUE
help.tsx,all,Help form not integrated,LOW,none,/help/submit or /support/ticket,Yes,Yes,NOT IMPLEMENTED
notifications.tsx,all,Uses hardcoded mock data,MEDIUM,none,/notifications;/notifications/{id},Yes,Yes,COMPLETELY MOCK
dashboard.tsx,234,Check applications endpoint,MEDIUM,/applications,verify in applications.ts,Partial,Partial,WORKS
dashboard.tsx,241,Roadmap endpoint may not exist,MEDIUM,/roadmap/application/{id},verify in roadmap.ts,Partial,Partial,ENDPOINT UNVERIFIED
dashboard.tsx,530,Document generation endpoint,MEDIUM,/ai/documents/generate,verify in ai.ts,Partial,Partial,POSSIBLE ISSUES
dashboard.tsx,714,Chat endpoint,MEDIUM,/ai/chat,verify in ai.ts,Partial,Partial,POSSIBLE ISSUES
dashboard.tsx,890,Document upload endpoint,MEDIUM,/documents/upload,verify in documents.ts,Partial,Partial,POSSIBLE ISSUES
assessment.tsx,all,Child component may fail on API error,MEDIUM,various,verify in EligibilityQuiz component,Yes,Yes,CHILD COMPONENT ISSUE
visa-comparison.tsx,34,Visa compare endpoint,LOW,/visa/compare,verify in visa.ts,Partial,Partial,ENDPOINT UNVERIFIED
pricing.tsx,159,Stripe create intent endpoint,LOW,/stripe/create-intent,verify in stripe.ts,Partial,Partial,ENDPOINT UNVERIFIED
subscription.tsx,105,Get current subscription,LOW,/subscription/current,verify in subscriptions.ts,Partial,Partial,APPEARS CORRECT
subscription.tsx,110,Get subscription usage,LOW,/subscription/usage,verify in subscriptions.ts,Partial,Partial,APPEARS CORRECT
subscription.tsx,118,Get billing history,LOW,/subscription/billing-history,verify in subscriptions.ts,Partial,Partial,APPEARS CORRECT
subscription.tsx,142,Upgrade subscription,LOW,/subscription/upgrade,verify in subscriptions.ts,Partial,Partial,APPEARS CORRECT
subscription.tsx,170,Cancel subscription,LOW,/subscription/cancel,verify in subscriptions.ts,Partial,Partial,APPEARS CORRECT
research.tsx,73,Research endpoint format,LOW,/research,verify in research.ts,Partial,Partial,ENDPOINT UNVERIFIED
research.tsx,103,Create research endpoint,LOW,/research,verify in research.ts,Partial,Partial,ENDPOINT UNVERIFIED
auth.tsx,all,Auth endpoints,LOW,/auth/*,verify in auth.ts,Partial,Partial,APPEARS CORRECT
home.tsx,all,Home page endpoints,LOW,none,no API calls needed,No,No,WORKS
not-found.tsx,all,Not found page,LOW,none,no API calls needed,No,No,WORKS
